offender_id,name,alias,age,gender,district_of_origin,education,occupation,known_associates,prior_convictions,gang_affiliation,status,aadhar_linked,risk_score,district_of_origin_id,education_id,occupation_id,gang_id,offender_status_id,birth_year
194,Pooja Nair,Kite-54,70,Male,Dakshina Kannada,Illiterate,Farmer,,0,None,Convicted,0,0.57,5,2,3,3,5,1954
195,Imran Kumar,Thunder-68,55,Male,Hassan,Primary,Driver,,2,None,Arrested,1,0.31,10,4,2,3,3,1968
196,Anjali Gowda,Sable-80,45,Male,Mysuru,Primary,Farmer,,0,Organized Crime,Juvenile,0,0.3,3,4,3,4,6,1980
197,Kavita Nair,Rogue-73,52,Male,Shivamogga,Illiterate,Labourer,,3,Organized Crime,Arrested,0,0.16,11,2,7,4,3,1973
198,Ganesh Shetty,Ember-68,54,Male,Tumakuru,Secondary,Student,,4,Drug Cartel,Acquitted,1,0.52,4,5,10,1,2,1968
199,Ganesh Rao,Knox-59,66,Male,Kalaburagi,Illiterate,Labourer,,8,None,Juvenile,1,0.96,7,2,7,3,6,1959
200,Anjali Shetty,Canyon-75,50,Male,Bengaluru Urban,Primary,Unknown,,4,None,Arrested,1,0.91,1,4,13,3,3,1975
201,Girish Kumar,Trace-06,19,Male,Kalaburagi,Illiterate,Student,,0,Local Gang,Juvenile,1,0.31,7,2,10,2,6,2006
202,Shiva Khan,Warden-99,26,Male,Bengaluru Rural,Primary,Labourer,,1,None,Arrested,1,0.5,2,4,7,3,3,1999
203,Deepa Singh,Ghost-92,33,Male,Bengaluru Rural,Illiterate,Labourer,,4,Drug Cartel,Juvenile,1,0.29,2,2,7,1,6,1992
204,Mohan Hegde,Striker-68,55,Male,Dakshina Kannada,Primary,Unemployed,,6,Local Gang,Acquitted,1,0.19,5,4,12,2,2,1968
205,Vijay Reddy,Orion-01,23,Male,Kalaburagi,Secondary,Unknown,,1,Organized Crime,Acquitted,0,0.93,7,5,13,4,2,2001
206,Rajesh Pillai,Vector-76,46,Male,Dharwad,Illiterate,Labourer,,6,Drug Cartel,Convicted,0,0.13,8,2,7,1,5,1976
207,Meera Rao,Talon-88,37,Female,Bengaluru Urban,Post-Graduate,Student,,3,Drug Cartel,Bail,0,0.47,1,3,10,1,4,1988
208,Mohan Nair,Quartz-57,68,Male,Ballari,Primary,Unknown,,8,None,Convicted,0,0.53,9,4,13,3,5,1957
209,Nandini Prasad,Ember-50,75,Male,Hassan,Primary,Unemployed,,4,None,Convicted,0,0.79,10,4,12,3,5,1950
210,Arun Hegde,Monsoon-91,34,Male,Udupi,Illiterate,Farmer,,3,Organized Crime,Convicted,0,0.94,12,2,3,4,5,1991
211,Kumar Hegde,Diesel-60,65,Male,Udupi,Secondary,Student,,2,Organized Crime,Absconding,0,0.59,12,5,10,4,1,1960
212,Mohan Naik,Umbra-90,35,Male,Bengaluru Urban,Secondary,Student,,3,None,Bail,1,0.93,1,5,10,3,4,1990
213,Suresh Gowda,Bullet-83,42,Female,Belagavi,Illiterate,Driver,,6,Organized Crime,Arrested,0,0.37,6,2,2,4,3,1983
214,Patel D'Souza,Umbra-68,56,Male,Udupi,Post-Graduate,Unknown,,5,None,Juvenile,1,0.44,12,3,13,3,6,1968
215,Vijay Patil,Cobra-69,56,Female,Hassan,Illiterate,Labourer,,5,Organized Crime,Absconding,1,0.94,10,2,7,4,1,1969
216,Mohan Hegde,Fang-12,13,Female,Bengaluru Rural,Secondary,Trader,,0,None,Absconding,1,0.72,2,5,11,3,1,2012
217,Arun Gowda,Sable-55,70,Male,Mysuru,Graduate,Trader,,6,None,Acquitted,0,0.19,3,1,11,3,2,1955
218,Imran Menon,Vortex-73,52,Male,Bengaluru Urban,Secondary,Unemployed,,5,None,Arrested,1,0.41,1,5,12,3,3,1973
219,Patel Kumar,Anchor-65,59,Female,Dharwad,Illiterate,Trader,,2,Organized Crime,Convicted,1,0.15,8,2,11,4,5,1965
220,Ramesh Raju,Silver-95,30,Male,Tumakuru,Illiterate,Unemployed,,6,Organized Crime,Acquitted,0,0.24,4,2,12,4,2,1995
221,Mohan Shetty,Summit-88,37,Male,Bengaluru Urban,Primary,Labourer,,4,None,Convicted,1,0.38,1,4,7,3,5,1988
222,Rekha Menon,Rogue-07,18,Male,Kalaburagi,Secondary,Labourer,,7,None,Bail,0,0.52,7,5,7,3,4,2007
223,Nandini Naik,Warden-74,51,Male,Ballari,Graduate,Farmer,,3,Organized Crime,Arrested,0,0.84,9,1,3,4,3,1974
224,Joseph Murthy,Ghost-67,58,Male,Udupi,Illiterate,Student,,8,Organized Crime,Juvenile,1,0.21,12,2,10,4,6,1967
225,Kumar Rao,Viper-60,65,Male,Shivamogga,Graduate,Labourer,,2,Organized Crime,Bail,0,0.92,11,1,7,4,4,1960
226,Mohan Khan,Fang-05,20,Female,Ballari,Graduate,Farmer,,0,Drug Cartel,Acquitted,0,0.2,9,1,3,1,2,2005
227,Nandini Swamy,Steel-72,53,Male,Dakshina Kannada,Post-Graduate,Driver,,6,None,Convicted,0,0.61,5,3,2,3,5,1972
228,Sunita Khan,Valor-65,60,Male,Bengaluru Urban,Graduate,Driver,,3,None,Juvenile,0,0.93,1,1,2,3,6,1965
229,Kavita Shetty,Radar-93,32,Male,Tumakuru,Primary,Driver,,7,None,Bail,0,0.64,4,4,2,3,4,1993
230,Rajesh D'Souza,Bison-51,74,Female,Ballari,Primary,Unemployed,,4,Drug Cartel,Acquitted,0,0.22,9,4,12,1,2,1951
231,Ravi Patil,Maverick-06,19,Male,Bengaluru Urban,Secondary,Unknown,,3,None,Bail,0,0.55,1,5,13,3,4,2006
232,Joseph Gowda,Sentinel-63,62,Male,Dharwad,Post-Graduate,Student,,5,None,Absconding,0,0.77,8,3,10,3,1,1963
233,Ravi Khan,Umbra-65,60,Female,Shivamogga,Primary,Unknown,,3,None,Juvenile,0,0.56,11,4,13,3,6,1965
234,Joseph Gowda,Iron-85,40,Male,Tumakuru,Secondary,Student,,4,Drug Cartel,Juvenile,0,0.48,4,5,10,1,6,1985
235,Girish Nair,King-51,74,Male,Hassan,Graduate,Student,,1,None,Acquitted,0,0.61,10,1,10,3,2,1951
236,Anita Menon,Pulse-70,54,Female,Shivamogga,Secondary,Farmer,,4,None,Juvenile,0,0.27,11,5,3,3,6,1970
237,Rekha Naik,Lantern-98,27,Male,Mysuru,Illiterate,Unknown,,7,None,Bail,0,0.46,3,2,13,3,4,1998
238,Maria Swamy,Meteor-91,34,Male,Shivamogga,Post-Graduate,Unknown,,7,Drug Cartel,Bail,0,0.86,11,3,13,1,4,1991
239,Kumar Shetty,Panther-84,41,Male,Ballari,Primary,Unknown,,5,Drug Cartel,Arrested,1,0.42,9,4,13,1,3,1984
240,Ramesh Patel,Scorch-77,48,Male,Bengaluru Rural,Graduate,Unemployed,,1,Local Gang,Absconding,1,0.88,2,1,12,2,1,1977
241,Ramesh Naik,Blade-97,27,Male,Hassan,Graduate,Labourer,,5,Drug Cartel,Absconding,1,0.54,10,1,7,1,1,1997
242,Kavita Pillai,Sentinel-56,69,Male,Mysuru,Post-Graduate,Farmer,,2,Local Gang,Arrested,1,0.65,3,3,3,2,3,1956
243,Ramesh Murthy,Trace-56,69,Male,Belagavi,Illiterate,Driver,,8,None,Arrested,1,0.66,6,2,2,3,3,1956
244,Rekha Singh,Frost-76,48,Male,Dakshina Kannada,Primary,Unemployed,,0,None,Bail,0,0.76,5,4,12,3,4,1976
245,Ramesh Menon,Lancer-70,55,Male,Mysuru,Graduate,Unemployed,,3,None,Juvenile,1,0.29,3,1,12,3,6,1970
246,Arun Singh,Harbor-96,29,Female,Dakshina Kannada,Post-Graduate,Student,,0,Organized Crime,Arrested,1,0.69,5,3,10,4,3,1996
247,Ramesh Fernandes,Slate-56,69,Male,Mysuru,Primary,Unknown,,0,None,Convicted,1,0.7,3,4,13,3,5,1956
248,Maria Sharma,Magnet-82,43,Male,Dakshina Kannada,Illiterate,Farmer,,1,Local Gang,Absconding,1,0.8,5,2,3,2,1,1982
249,Meera D'Souza,Nimbus-75,50,Male,Tumakuru,Graduate,Driver,,3,None,Arrested,1,0.92,4,1,2,3,3,1975
250,Vijay Kumar,Hawk-97,28,Male,Dakshina Kannada,Primary,Trader,,4,None,Convicted,1,0.19,5,4,11,3,5,1997
251,Anjali Shetty,Blade-90,35,Male,Bengaluru Rural,Illiterate,Unemployed,,2,Drug Cartel,Juvenile,1,0.4,2,2,12,1,6,1990
252,Sunita Kumar,Vortex-11,13,Male,Dharwad,Secondary,Farmer,,6,Drug Cartel,Convicted,0,0.68,8,5,3,1,5,2011
253,Vijay Naik,Blackout-08,17,Female,Dharwad,Post-Graduate,Unknown,,7,None,Acquitted,0,0.8,8,3,13,3,2,2008
254,Lakshmi Murthy,Copper-01,24,Male,Shivamogga,Secondary,Unemployed,,8,Drug Cartel,Acquitted,1,0.98,11,5,12,1,2,2001
255,Pooja Prasad,Knox-62,63,Male,Tumakuru,Graduate,Driver,,6,None,Acquitted,1,0.11,4,1,2,3,2,1962
256,Anjali Murthy,Orion-55,70,Male,Belagavi,Primary,Driver,,4,None,Acquitted,1,0.6,6,4,2,3,2,1955
257,Mohan Fernandes,Indigo-80,45,Female,Dharwad,Secondary,Unemployed,,7,Drug Cartel,Juvenile,1,0.19,8,5,12,1,6,1980
258,Deepa Gowda,Zephyr-02,22,Male,Ballari,Post-Graduate,Labourer,,7,None,Bail,1,0.83,9,3,7,3,4,2002
259,Deepa Iyer,Meteor-66,59,Male,Bengaluru Rural,Primary,Unemployed,,5,None,Juvenile,0,0.59,2,4,12,3,6,1966
260,Suresh Patil,Panther-59,66,Male,Tumakuru,Primary,Unemployed,,6,None,Convicted,1,0.75,4,4,12,3,5,1959
261,Suresh Pillai,Scorch-52,73,Male,Dharwad,Graduate,Unknown,,8,None,Convicted,1,0.58,8,1,13,3,5,1952
262,Krishna Swamy,Maverick-74,50,Male,Udupi,Primary,Unemployed,,6,Drug Cartel,Acquitted,0,0.55,12,4,12,1,2,1974
263,Maria Hegde,Beacon-99,26,Male,Mysuru,Primary,Trader,,8,None,Juvenile,0,0.74,3,4,11,3,6,1999
264,Rajesh Rao,Brick-91,34,Male,Shivamogga,Primary,Unknown,,2,Organized Crime,Acquitted,0,0.74,11,4,13,4,2,1991
265,Lakshmi Swamy,Jet-54,71,Male,Ballari,Secondary,Farmer,,6,None,Acquitted,1,0.12,9,5,3,3,2,1954
266,Suresh Rao,Fang-77,48,Male,Bengaluru Urban,Secondary,Labourer,,8,None,Bail,0,0.19,1,5,7,3,4,1977
267,Deepa Hegde,Trace-01,23,Male,Udupi,Secondary,Unknown,,0,Local Gang,Convicted,0,0.96,12,5,13,2,5,2001
268,Deepa Naik,Warden-94,30,Female,Dharwad,Primary,Unknown,,5,Organized Crime,Acquitted,1,0.8,8,4,13,4,2,1994
269,Girish Patil,Shadow-88,37,Male,Bengaluru Rural,Graduate,Unemployed,,6,None,Acquitted,0,0.22,2,1,12,3,2,1988
270,Ravi Patel,Viper-80,44,Female,Hassan,Illiterate,Farmer,,4,Local Gang,Acquitted,0,0.17,10,2,3,2,2,1980
271,Priya Patil,Surge-04,21,Male,Ballari,Graduate,Unemployed,,5,None,Absconding,0,0.4,9,1,12,3,1,2004
272,Shameer Prasad,Wolf-97,28,Male,Dharwad,Primary,Unknown,,3,None,Juvenile,0,0.44,8,4,13,3,6,1997
273,Sanjay Nair,Ash-90,35,Female,Belagavi,Post-Graduate,Farmer,,8,Local Gang,Convicted,1,0.37,6,3,3,2,5,1990
274,Pooja Kumar,Quartz-52,72,Male,Bengaluru Rural,Primary,Unknown,,3,Drug Cartel,Convicted,1,0.29,2,4,13,1,5,1952
275,Imran Kumar,Copper-76,48,Male,Belagavi,Illiterate,Unemployed,,1,None,Absconding,0,0.6,6,2,12,3,1,1976
276,Sunita D'Souza,Eclipse-69,56,Male,Kalaburagi,Illiterate,Student,,0,Drug Cartel,Juvenile,1,0.78,7,2,10,1,6,1969
277,Meera Prasad,Grit-62,63,Male,Dharwad,Graduate,Trader,,0,Local Gang,Absconding,1,0.22,8,1,11,2,1,1962
278,Anjali Raju,Warden-87,38,Male,Udupi,Secondary,Unemployed,,8,Organized Crime,Absconding,1,0.14,12,5,12,4,1,1987
279,Deepa Raju,Mirage-09,16,Male,Udupi,Secondary,Labourer,,6,Drug Cartel,Acquitted,1,0.24,12,5,7,1,2,2009
280,Rajesh Reddy,Ranger-02,23,Female,Ballari,Graduate,Unknown,,8,None,Bail,1,0.33,9,1,13,3,4,2002
281,Lakshmi Patel,Spark-95,30,Male,Bengaluru Rural,Primary,Driver,,7,Local Gang,Bail,0,0.72,2,4,2,2,4,1995
282,Meera Patel,Blade-58,66,Male,Tumakuru,Graduate,Driver,,5,None,Juvenile,0,0.89,4,1,2,3,6,1958
283,Ganesh Shetty,Basilisk-84,41,Male,Bengaluru Rural,Secondary,Farmer,,2,Organized Crime,Absconding,0,0.76,2,5,3,4,1,1984
284,Rekha Gowda,Beacon-74,51,Male,Hassan,Primary,Unemployed,,8,None,Acquitted,0,0.69,10,4,12,3,2,1974
285,Priya Swamy,Blackout-65,56,Male,Bengaluru Rural,Graduate,Driver,,8,None,Juvenile,1,0.86,2,1,2,3,6,1965
286,Joseph Patil,Domino-60,65,Male,Hassan,Post-Graduate,Unknown,,2,Drug Cartel,Juvenile,0,0.95,10,3,13,1,6,1960
287,Priya Kumar,Flint-53,72,Male,Ballari,Secondary,Trader,,7,Local Gang,Arrested,1,0.98,9,5,11,2,3,1953
288,Pooja Pillai,Frost-07,18,Male,Mysuru,Graduate,Unknown,,6,None,Acquitted,1,0.56,3,1,13,3,2,2007
289,Pooja Khan,Knox-00,25,Female,Bengaluru Urban,Post-Graduate,Labourer,,7,None,Absconding,1,0.56,1,3,7,3,1,2000
290,Kumar Patil,King-64,60,Male,Belagavi,Illiterate,Trader,,7,Local Gang,Absconding,1,0.68,6,2,11,2,1,1964
291,Suresh Sharma,Hawk-58,67,Male,Bengaluru Urban,Post-Graduate,Labourer,,0,None,Bail,1,0.56,1,3,7,3,4,1958
292,Imran Gowda,Storm-50,74,Male,Hassan,Graduate,Farmer,,7,None,Absconding,0,0.64,10,1,3,3,1,1950
293,Shameer Menon,Ash-76,48,Male,Dharwad,Post-Graduate,Student,,1,None,Convicted,0,0.22,8,3,10,3,5,1976
294,Krishna Sharma,Bison-68,55,Female,Hassan,Illiterate,Farmer,,8,Organized Crime,Arrested,1,0.53,10,2,3,4,3,1968
295,Deepa Gowda,Blackout-58,67,Male,Bengaluru Urban,Post-Graduate,Trader,,3,Local Gang,Convicted,0,0.63,1,3,11,2,5,1958
296,Arun D'Souza,Copper-51,74,Female,Bengaluru Rural,Secondary,Student,,8,Local Gang,Bail,1,0.1,2,5,10,2,4,1951
297,Nandini Prasad,Vector-05,20,Male,Udupi,Secondary,Trader,,5,None,Absconding,0,0.69,12,5,11,3,1,2005
298,Ramesh Swamy,Umbra-71,54,Male,Tumakuru,Graduate,Student,,8,Local Gang,Absconding,0,0.6,4,1,10,2,1,1971
299,Nandini Singh,Iron-91,34,Male,Tumakuru,Graduate,Farmer,,2,None,Absconding,0,0.81,4,1,3,3,1,1991
300,Maria Menon,Mirage-84,41,Female,Bengaluru Urban,Illiterate,Farmer,,2,Local Gang,Acquitted,0,0.18,1,2,3,2,2,1984
301,Mohan Iyer,Raven-49,75,Male,Dakshina Kannada,Post-Graduate,Unemployed,,2,Drug Cartel,Convicted,0,0.11,5,3,12,1,5,1949
302,Anita Rao,Zenith-78,45,Male,Hassan,Primary,Unknown,,0,None,Absconding,1,0.98,10,4,13,3,1,1978
303,Ganesh Khan,Titan-63,62,Male,Ballari,Illiterate,Unknown,,1,None,Acquitted,0,0.75,9,2,13,3,2,1963
304,Meera Singh,Panther-90,34,Female,Dharwad,Graduate,Student,,0,None,Absconding,0,0.56,8,1,10,3,1,1990
305,Anita Patel,Scorch-83,41,Male,Hassan,Secondary,Unknown,,7,Local Gang,Acquitted,0,0.79,10,5,13,2,2,1983
306,Joseph Fernandes,Cipher-11,13,Male,Bengaluru Rural,Graduate,Unknown,,3,Drug Cartel,Juvenile,1,0.82,2,1,13,1,6,2011
307,Pooja Raju,Onyx-96,29,Male,Shivamogga,Secondary,Unemployed,,8,None,Convicted,0,0.42,11,5,12,3,5,1996
308,Kumar Menon,Jet-96,27,Male,Dakshina Kannada,Primary,Labourer,,3,None,Acquitted,0,0.24,5,4,7,3,2,1996
309,Joseph Menon,Raven-64,61,Female,Dharwad,Secondary,Student,,5,Local Gang,Acquitted,0,0.54,8,5,10,2,2,1964
310,Sunita Khan,Knox-75,50,Male,Kalaburagi,Graduate,Student,,0,Organized Crime,Bail,0,0.87,7,1,10,4,4,1975
311,Arun Prasad,Orion-68,57,Male,Kalaburagi,Post-Graduate,Unemployed,,5,None,Acquitted,0,0.27,7,3,12,3,2,1968
312,Lakshmi Iyer,Kodiak-96,28,Male,Kalaburagi,Secondary,Driver,,6,None,Convicted,1,0.61,7,5,2,3,5,1996
313,Priya Reddy,Surge-54,71,Male,Kalaburagi,Primary,Labourer,,2,Local Gang,Arrested,1,0.48,7,4,7,2,3,1954
314,Pooja Raju,Signal-90,34,Male,Hassan,Illiterate,Trader,,1,Drug Cartel,Absconding,1,0.29,10,2,11,1,1,1990
315,Arun Fernandes,Raven-01,24,Male,Ballari,Secondary,Driver,,0,Local Gang,Arrested,0,0.88,9,5,2,2,3,2001
316,Nandini Swamy,Signal-68,56,Female,Dakshina Kannada,Secondary,Driver,,8,Local Gang,Juvenile,0,0.9,5,5,2,2,6,1968
317,Girish Pillai,Ember-98,27,Male,Hassan,Graduate,Farmer,,1,None,Absconding,0,0.31,10,1,3,3,1,1998
318,Maria Nair,Vector-80,45,Female,Belagavi,Post-Graduate,Student,,7,Local Gang,Absconding,1,0.87,6,3,10,2,1,1980
319,Joseph Nair,Domino-10,15,Male,Bengaluru Rural,Illiterate,Trader,,8,None,Arrested,0,0.57,2,2,11,3,3,2010
320,Sunita Iyer,Iron-66,59,Male,Udupi,Secondary,Trader,,2,None,Acquitted,1,0.13,12,5,11,3,2,1966
321,Anjali Murthy,Talon-70,55,Male,Udupi,Post-Graduate,Labourer,,7,Drug Cartel,Juvenile,0,0.57,12,3,7,1,6,1970
322,Meera Murthy,Vortex-62,62,Male,Kalaburagi,Secondary,Labourer,,4,None,Arrested,1,0.41,7,5,7,3,3,1962
323,Maria Murthy,Magnet-81,43,Male,Dakshina Kannada,Post-Graduate,Labourer,,0,Organized Crime,Bail,1,0.47,5,3,7,4,4,1981
324,Priya Patil,Tiger-99,26,Male,Bengaluru Rural,Graduate,Unknown,,3,Organized Crime,Acquitted,0,0.36,2,1,13,4,2,1999
325,Ramesh Rao,Radar-67,57,Male,Shivamogga,Graduate,Student,,7,None,Juvenile,0,0.27,11,1,10,3,6,1967
326,Deepa Gowda,Quartz-98,27,Male,Dharwad,Illiterate,Labourer,,1,None,Arrested,0,0.3,8,2,7,3,3,1998
327,Shiva Murthy,Striker-54,71,Male,Mysuru,Illiterate,Driver,,6,None,Acquitted,0,0.26,3,2,2,3,2,1954
328,Krishna Khan,Onyx-71,54,Male,Dharwad,Primary,Unknown,,0,None,Convicted,1,0.57,8,4,13,3,5,1971
329,Sanjay Menon,Diesel-01,23,Male,Udupi,Post-Graduate,Student,,1,None,Convicted,0,0.28,12,3,10,3,5,2001
330,Rajesh Reddy,Flint-95,30,Male,Dakshina Kannada,Post-Graduate,Unemployed,,6,None,Arrested,1,0.62,5,3,12,3,3,1995
331,Vijay Singh,Knox-50,75,Male,Shivamogga,Post-Graduate,Driver,,0,None,Bail,1,0.73,11,3,2,3,4,1950
332,Lakshmi Hegde,Jade-80,44,Male,Bengaluru Urban,Graduate,Driver,,2,None,Arrested,0,0.74,1,1,2,3,3,1980
333,Maria Murthy,Trident-97,28,Male,Udupi,Graduate,Driver,,8,None,Arrested,1,0.5,12,1,2,3,3,1997
334,Meera Fernandes,Zephyr-90,35,Male,Bengaluru Urban,Post-Graduate,Farmer,,5,Organized Crime,Absconding,0,0.75,1,3,3,4,1,1990
335,Krishna Khan,Shadow-83,42,Male,Dakshina Kannada,Secondary,Trader,,5,None,Arrested,1,0.14,5,5,11,3,3,1983
336,Anjali Naik,Thunder-62,60,Male,Hassan,Graduate,Unknown,,7,Organized Crime,Acquitted,0,0.14,10,1,13,4,2,1962
337,Mohan Gowda,Blaze-69,56,Male,Shivamogga,Illiterate,Driver,,8,Drug Cartel,Convicted,0,0.81,11,2,2,1,5,1969
338,Sunita Prasad,Maverick-62,63,Female,Ballari,Illiterate,Unemployed,,3,Organized Crime,Convicted,1,0.27,9,2,12,4,5,1962
339,Imran Patil,Nova-68,55,Male,Shivamogga,Post-Graduate,Driver,,7,Drug Cartel,Juvenile,0,0.89,11,3,2,1,6,1968
340,Deepa Khan,Saffron-09,16,Female,Dharwad,Secondary,Driver,,8,None,Bail,0,0.79,8,5,2,3,4,2009
341,Kavita Iyer,Signal-02,23,Male,Ballari,Secondary,Driver,,7,Local Gang,Convicted,1,0.75,9,5,2,2,5,2002
342,Ravi Prasad,Striker-95,30,Female,Tumakuru,Secondary,Unemployed,,4,Organized Crime,Acquitted,1,0.18,4,5,12,4,2,1995
343,Vijay Nair,Lotus-66,59,Male,Dakshina Kannada,Illiterate,Student,,6,Organized Crime,Absconding,1,0.75,5,2,10,4,1,1966
344,Lakshmi Swamy,Verdict-81,44,Male,Udupi,Post-Graduate,Trader,,1,None,Bail,0,0.89,12,3,11,3,4,1981
345,Anjali Hegde,Panther-51,73,Male,Shivamogga,Graduate,Unemployed,,4,Organized Crime,Arrested,0,0.59,11,1,12,4,3,1951
346,Maria Hegde,Vortex-06,18,Male,Hassan,Post-Graduate,Unemployed,,3,Local Gang,Bail,0,0.23,10,3,12,2,4,2006
347,Nandini Naik,Hawk-60,65,Male,Kalaburagi,Primary,Farmer,,2,Local Gang,Acquitted,1,0.54,7,4,3,2,2,1960
348,Deepa Iyer,Blade-53,72,Male,Kalaburagi,Secondary,Unknown,,1,None,Juvenile,0,0.48,7,5,13,3,6,1953
349,Meera Iyer,Monsoon-07,18,Female,Hassan,Graduate,Student,,2,Local Gang,Arrested,1,0.28,10,1,10,2,3,2007
350,Patel Kumar,Pioneer-00,25,Female,Dakshina Kannada,Illiterate,Driver,,1,None,Convicted,0,0.12,5,2,2,3,5,2000
351,Rajesh Rao,Forge-71,53,Male,Udupi,Primary,Unknown,,0,Local Gang,Acquitted,1,0.33,12,4,13,2,2,1971
352,Shiva Iyer,Indigo-65,60,Female,Bengaluru Rural,Graduate,Unknown,,4,Drug Cartel,Juvenile,0,0.88,2,1,13,1,6,1965
353,Priya Khan,Lantern-57,67,Female,Ballari,Illiterate,Labourer,,3,Organized Crime,Convicted,1,0.14,9,2,7,4,5,1957
354,Kavita Murthy,Trident-72,53,Male,Belagavi,Secondary,Labourer,,8,None,Arrested,0,0.89,6,5,7,3,3,1972
355,Deepa Nair,Zephyr-65,60,Male,Bengaluru Rural,Graduate,Student,,3,Local Gang,Absconding,1,0.48,2,1,10,2,1,1965
356,Kavita Fernandes,Shadow-58,67,Male,Ballari,Primary,Farmer,,2,None,Juvenile,1,0.49,9,4,3,3,6,1958
357,Vijay Pillai,Zenith-91,33,Male,Udupi,Illiterate,Labourer,,5,None,Juvenile,1,0.79,12,2,7,3,6,1991
358,Ramesh Shetty,Indigo-02,22,Male,Bengaluru Rural,Primary,Labourer,,0,Organized Crime,Acquitted,0,0.65,2,4,7,4,2,2002
359,Priya Hegde,Mantis-98,27,Male,Dharwad,Primary,Student,,7,Drug Cartel,Juvenile,0,0.27,8,4,10,1,6,1998
360,Vijay Patil,Shakti-98,22,Male,Bengaluru Urban,Secondary,Trader,,3,Drug Cartel,Juvenile,1,0.78,1,5,11,1,6,1998
361,Anjali Iyer,Flint-63,61,Male,Bengaluru Urban,Post-Graduate,Unknown,,6,Drug Cartel,Bail,0,0.65,1,3,13,1,4,1963
362,Deepa Prasad,Signal-77,48,Male,Bengaluru Urban,Primary,Student,,8,Local Gang,Juvenile,1,0.6,1,4,10,2,6,1977
363,Rajesh Shetty,Kodiak-50,75,Male,Kalaburagi,Secondary,Student,,0,Drug Cartel,Acquitted,1,0.52,7,5,10,1,2,1950
364,Patel Prasad,Blade-83,41,Male,Kalaburagi,Graduate,Driver,,7,None,Absconding,0,0.63,7,1,2,3,1,1983
365,Rekha Fernandes,Verdict-56,69,Male,Udupi,Primary,Unknown,,1,None,Arrested,0,0.67,12,4,13,3,3,1956
366,Sanjay Prasad,Rebel-84,38,Male,Mysuru,Secondary,Student,,2,None,Absconding,1,0.79,3,5,10,3,1,1984
367,Anita Fernandes,Wolf-83,41,Female,Tumakuru,Illiterate,Student,,4,None,Convicted,0,0.87,4,2,10,3,5,1983
368,Shameer Murthy,Lancer-56,69,Male,Kalaburagi,Graduate,Unemployed,,0,None,Acquitted,0,0.66,7,1,12,3,2,1956
369,Suresh Patil,Teak-10,13,Male,Bengaluru Urban,Post-Graduate,Farmer,,4,None,Arrested,1,0.2,1,3,3,3,3,2010
370,Joseph Shetty,Dagger-62,62,Male,Mysuru,Graduate,Unknown,,5,None,Arrested,0,0.39,3,1,13,3,3,1962
371,Ganesh D'Souza,Pioneer-75,50,Male,Bengaluru Rural,Secondary,Driver,,8,Local Gang,Acquitted,1,0.73,2,5,2,2,2,1975
372,Nandini Pillai,Sentinel-68,57,Male,Udupi,Secondary,Trader,,5,None,Acquitted,0,0.93,12,5,11,3,2,1968
373,Pooja Pillai,Solstice-61,64,Male,Dakshina Kannada,Primary,Unemployed,,1,None,Convicted,1,0.76,5,4,12,3,5,1961
374,Ramesh D'Souza,Switch-54,71,Male,Tumakuru,Illiterate,Unknown,,3,Drug Cartel,Bail,0,0.81,4,2,13,1,4,1954
375,Deepa Patel,Sierra-89,35,Male,Kalaburagi,Post-Graduate,Student,,0,None,Absconding,0,0.85,7,3,10,3,1,1989
376,Lakshmi Naik,Domino-01,24,Male,Ballari,Secondary,Trader,,6,Drug Cartel,Arrested,0,0.61,9,5,11,1,3,2001
377,Deepa Gowda,Forge-94,31,Male,Mysuru,Secondary,Farmer,,0,None,Convicted,1,0.61,3,5,3,3,5,1994
378,Arun Shetty,Vortex-64,57,Male,Dharwad,Primary,Driver,,7,None,Absconding,0,0.26,8,4,2,3,1,1964
379,Ganesh Rao,Kodiak-80,45,Male,Ballari,Primary,Labourer,,5,Local Gang,Juvenile,0,0.8,9,4,7,2,6,1980
380,Krishna Prasad,Mantis-73,52,Male,Kalaburagi,Post-Graduate,Unemployed,,0,None,Arrested,1,0.4,7,3,12,3,3,1973
381,Pooja Menon,Cipher-10,15,Male,Shivamogga,Primary,Driver,,3,None,Bail,0,0.58,11,4,2,3,4,2010
382,Sunita Sharma,Saffron-59,66,Female,Ballari,Post-Graduate,Unemployed,,3,Organized Crime,Bail,0,0.34,9,3,12,4,4,1959
383,Nandini Hegde,Signal-52,73,Female,Ballari,Graduate,Unemployed,,2,None,Convicted,1,0.2,9,1,12,3,5,1952
384,Sanjay Patil,Storm-68,55,Female,Udupi,Graduate,Student,,5,None,Bail,1,0.74,12,1,10,3,4,1968
385,Mohan Fernandes,Brick-99,26,Male,Dharwad,Secondary,Unknown,,7,Local Gang,Absconding,1,0.23,8,5,13,2,1,1999
386,Meera Khan,Dagger-92,33,Male,Bengaluru Urban,Illiterate,Trader,,1,None,Convicted,0,0.86,1,2,11,3,5,1992
387,Shameer Swamy,Vortex-68,57,Male,Bengaluru Rural,Secondary,Student,,1,None,Acquitted,0,0.46,2,5,10,3,2,1968
388,Priya Raju,Summit-05,20,Male,Udupi,Post-Graduate,Trader,,6,Organized Crime,Bail,1,0.26,12,3,11,4,4,2005
